question_id,question_type,difficulty,question,gold_answer,flat_rag_answer,graphrag_answer,flat_rag_score,graphrag_score,max_score,flat_rag_tokens,graphrag_tokens,flat_rag_time,graphrag_time,flat_rag_chunks,graphrag_triples,flat_rag_sources,graphrag_entities,graphrag_top_triples
E11,product,easy,What did Anthropic announce in May 2025 besides Claude 4?,In May 2025 Anthropic announced Claude 4 and introduced new API capabilities including the Model Context Protocol connector.,"In May 2025, besides Claude 4, Anthropic also released Claude 4 Opus and Claude 4 Sonnet.","In May 2025, Anthropic announced the release of Claude 4 Opus and Claude 4 Sonnet.",1,1,4,1362,4734,1.15,1.66,5,65,Anthropic,Anthropic|Claude 4|Claude,Anthropic--[RELEASED]-->Claude 4 Opus; Anthropic--[RELEASED]-->Claude 4 Sonnet; Anthropic--[RELEASED]-->Claude 4; Claude 4--[RELEASED]-->Anthropic; Anthropic--[HAS_MISSION]-->prohibits directly using Claude for domestic surveillance or in fully autonomous weapons
E12,policy,medium,What sales restriction did Anthropic announce in September 2025?,"Anthropic said it would stop selling products to groups majority-owned by Chinese, Russian, Iranian, or North Korean entities because of national security concerns.","In September 2025, Anthropic announced that it would stop selling its products to groups majority-owned by Chinese, Russian, Iranian, or North Korean entities due to national security concerns.","In September 2025, Anthropic announced that it would stop selling its products to groups majority-owned by Chinese, Russian, Iranian, or North Korean entities due to national security concerns.",5,5,5,1299,2688,2.31,2.07,5,20,Anthropic,Anthropic,Anthropic--[PROVIDES]-->Anthropic Institute; Anthropic--[PROVIDES]-->Web Interface; Anthropic--[PROVIDES]-->API; Anthropic--[PROVIDES]-->Amazon Bedrock; Anthropic--[PROVIDES]-->iOS App
E13,security,medium,How did hackers reportedly misuse Claude in November 2025?,"Anthropic said Chinese government-sponsored hackers used Claude to perform automated cyberattacks against around 30 global organizations, bypassing safeguards by pretending the activity was defensive testing.","The retrieved passages do not contain any information about hackers reportedly misusing Claude in November 2025. Therefore, I cannot provide an answer to this question.",Hackers sponsored by the Chinese government reportedly used Claude to perform automated cyberattacks against around 30 global organizations by pretending it was for defensive testing.,0,4,4,1196,2626,1.28,2.51,5,13,Anthropic,Claude|Report,Claude--[RELEASED]-->Claude Code; Claude--[RELEASED]-->Claude 3; Claude Code--[RELEASED]-->Claude Code; Claude--[USES]-->AI Assistant; Claude--[USES]-->Web Search API
E14,acquisition,easy,Why did Anthropic acquire Bun?,Anthropic acquired Bun in December 2025 to improve the speed and stability of Claude Code.,"The retrieved passages do not contain any information regarding Anthropic acquiring Bun or the reasons behind such an acquisition. Therefore, I cannot provide an answer to the question.",Anthropic acquired Bun to improve the speed and stability of Claude Code.,0,2,3,1085,2719,1.34,1.59,5,15,Anthropic,Anthropic|Bun,Anthropic--[RELEASED]-->Bun; Anthropic--[ACQUIRED]-->Bun; Anthropic--[PROVIDES]-->Anthropic Institute; Anthropic--[ACQUIRED]-->Millions Of Used Books; Anthropic--[ACQUIRED]-->Copyright Laws
E15,partnership,medium,What was Anthropic's Snowflake partnership?,Anthropic signed a multi-year $200 million partnership with Snowflake to make Claude models available through Snowflake's platform.,"In December 2025, Anthropic signed a multi-year partnership with Snowflake Inc. valued at $200 million. This partnership aimed to make Anthropic's Claude models available through Snowflake's platform.","Anthropic signed a multi-year, $200 million partnership with Snowflake Inc.",3,2,3,1153,3202,1.8,1.61,5,26,Anthropic,Anthropic|Snowflake,Anthropic--[PARTNERED_WITH]-->Snowflake Inc.; Anthropic--[INVESTED_IN]-->Google; Anthropic--[INVESTED_IN]-->Labs; John Schulman--[INVESTED_IN]-->Anthropic; Google--[INVESTED_IN]-->Anthropic
E16,government,hard,How is Anthropic connected to Palantir and U.S. defense agencies?,In November 2024 Anthropic partnered with Palantir and AWS to provide Claude to U.S. intelligence and defense agencies; by February 2026 the corpus says Claude was the only AI model used in classified missions.,"Anthropic is connected to Palantir and U.S. defense agencies through a partnership that began in November 2024, where they collaborated to provide the Claude AI model to these agencies. By June 2025, Anthropic announced a ""Claude Gov"" model that was reported to be in use at multiple U.S. national security agencies. Furthermore, by February 2026, Anthropic's partnership with Palantir established Claude as the only AI model used in classified missions. In July 2025, the U.S. Department of Defense awarded Anthropic a $200 million contract for AI in the military, indicating a significant level of involvement with defense operations.","Anthropic partnered with Palantir and Amazon Web Services in November 2024 to provide the Claude model to U.S. intelligence and defense agencies. As of February 2026, Anthropic's partnership with Palantir made Claude the only AI model used in classified missions.",2,4,4,1273,4427,2.26,2.48,5,60,Anthropic,Anthropic|Palantir|U.S. defense agencies|U.S.,"Anthropic--[PARTNERED_WITH]-->Palantir; Anthropic--[LOCATED_IN]-->San Francisco, California, U.S.; Anthropic--[INVESTED_IN]-->Google; Anthropic--[INVESTED_IN]-->Labs; John Schulman--[INVESTED_IN]-->Anthropic"
E17,services,medium,List Microsoft's major services from the infobox.,"The corpus lists services including Edge, Azure, Bing, LinkedIn, Viva Engage, Microsoft 365, OneDrive, Dynamics 365, Outlook, GitHub, Microsoft Store, Windows Update, Game Pass, and Xbox network.","Microsoft's major services include:

- Edge
- Azure
- Bing
- LinkedIn
- Viva Engage
- Microsoft 365
- OneDrive
- Dynamics 365
- Outlook
- GitHub
- Microsoft Store
- Windows Update
- Game Pass
- Xbox network","Microsoft's major services include:

- Azure
- Bing
- MSN
- Outlook.com (Hotmail) email service
- Microsoft Store
- Microsoft SQL Server database software
- Visual Studio",5,2,5,1102,2778,1.43,2.48,5,28,Microsoft,Microsoft,Microsoft--[PROVIDES]-->Azure; Microsoft--[PROVIDES]-->Windows Line Of Operating Systems; Microsoft--[PROVIDES]-->Microsoft Office And Microsoft 365 Suite; Microsoft--[RELEASED]-->Microsoft Mouse; Microsoft--[RELEASED]-->Microsoft Surface
E18,financial,easy,"What revenue, operating income, and net income does Microsoft report for 2025?","Microsoft reports US$281.7 billion revenue, US$128.5 billion operating income, and US$101.8 billion net income for 2025.","For 2025, Microsoft reports the following financial figures:
- Revenue: US$281.7 billion
- Operating Income: US$128.5 billion
- Net Income: US$101.8 billion","For 2025, Microsoft reports a revenue of US$281.7 billion, an operating income of US$128.5 billion, and a net income of US$101.8 billion.",3,3,3,1225,4048,1.31,1.91,5,51,Microsoft,Microsoft|Report,Microsoft--[HAS_REVENUE]-->largest software company by revenue; Microsoft--[HAS_NET_INCOME]-->three billionaires; Microsoft--[HAS_REVENUE]-->US$281.7 billion; Microsoft--[HAS_NET_INCOME]-->US$101.8 billion; Microsoft--[HAS_NET_INCOME]-->€497 million ($613 million)
E19,acquisition,medium,What major gaming acquisition did Microsoft complete in 2023?,"Microsoft acquired Activision Blizzard in an all-cash deal worth $68.7 billion, completed in 2023.",Microsoft completed the acquisition of Activision Blizzard in 2023.,Microsoft completed the acquisition of Activision Blizzard in 2023.,2,2,3,902,3213,1.04,1.46,5,43,Microsoft,Microsoft|gaming acquisition,Microsoft--[ACQUIRED]-->Activision Blizzard; Microsoft--[PROVIDES]-->Microsoft Office And Microsoft 365 Suite; Microsoft--[RELEASED]-->Microsoft Mouse; Microsoft--[ACQUIRED]-->Skype; Microsoft--[ACQUIRED]-->Yammer
E20,ai_org,medium,What happened between Microsoft and Inflection AI in March 2024?,"Inflection AI cofounders Mustafa Suleyman and Karen Simonyan left to start Microsoft AI, Microsoft acqui-hired nearly the 70-person workforce, and paid Inflection $650 million to license its technology.","In March 2024, Inflection AI's cofounders Mustafa Suleyman and Karen Simonyan announced their departure from the company in order to start Microsoft AI, with Microsoft acquiring nearly the entirety of Inflection AI's 70-person workforce and paying $650 million to license its technology.","In March 2024, Inflection AI's cofounders Mustafa Suleyman and Karen Simonyan announced their departure from the company in order to start Microsoft AI, with Microsoft acqui-hiring nearly the entirety of Inflection AI's 70-person workforce. As part of the deal, Microsoft paid Inflection $650 million to license its technology.",5,5,5,1050,4155,1.87,2.38,5,53,Microsoft|OpenAI,Microsoft|Inflection AI|Inflection,Microsoft--[HAS_OWNERSHIP_SHARE]-->minority non-voting stake; Microsoft--[FOUNDED_BY]-->Bill Gates; Microsoft--[FOUNDED_BY]-->Paul Allen; Microsoft--[HAS_REVENUE]-->largest software company by revenue; Microsoft--[HAS_NET_INCOME]-->three billionaires
E21,chip,medium,What custom chips did Microsoft announce in November 2023?,"Microsoft announced Maia, a chip designed to run large language models, and Cobalt CPU, designed to power general cloud services on Azure.","Microsoft announced two custom-designed computing chips in November 2023: the Maia chip, designed to run large language models, and the Cobalt CPU, designed to power general cloud services on Azure.","Microsoft announced two custom-designed computing chips: the Maia chip, designed to run large language models, and the Cobalt CPU, designed to power general cloud services on Azure.",4,4,4,904,3520,1.27,1.85,5,47,Microsoft|Nvidia,Microsoft,Microsoft--[PROVIDES]-->Azure; Microsoft--[RELEASED]-->9 versions of MS-DOS; Microsoft--[RELEASED]-->13 versions of Windows; Microsoft--[RELEASED]-->Surface; Microsoft--[PROVIDES]-->Windows Line Of Operating Systems
E22,financial,easy,What revenue and net income does Nvidia report for FY26?,Nvidia reports US$215.9 billion revenue and US$120.1 billion net income for FY26.,"For FY26, Nvidia reported a revenue of US$215 billion and a net income of US$120 billion.",Nvidia reports a revenue of US$215.9 billion and a net income of US$120.1 billion for FY26.,1,3,3,1303,3083,1.13,2.55,5,22,Nvidia,Nvidia|FY26|Report|Dia,Nvidia--[HAS_MARKET_SHARE]-->first generation of Nvidia RTX; Nvidia--[HAS_REVENUE]-->US$130.4 billion; Nvidia--[HAS_NET_INCOME]-->US$120.1 billion; Nvidia--[HAS_REVENUE]-->$200 million; Nvidia Corporation--[HAS_REVENUE]-->US$215.9 billion
E23,products,medium,"What Nvidia product lines are described for gaming, professional, and cloud gaming uses?","The corpus mentions GeForce GPUs for gaming and creative workloads, professional GPUs for edge/scientific/industrial applications, Shield devices, GeForce Now cloud gaming, and Tegra mobile processors.","Nvidia's product lines described for gaming, professional, and cloud gaming uses include:

- **GeForce**: Consumer-oriented graphics processing products for gaming and creative workloads.
- **RTX**: Professional visual computing graphics processing products, which have replaced the GTX and Quadro lines.
- **GeForce Now**: A cloud gaming service that allows users to stream games.

These product lines cater to various aspects of gaming, professional visualization, and cloud gaming experiences.","For gaming, Nvidia's product line includes GeForce GPUs. For professional use, it includes professional GPUs designed for edge computing, scientific research, and industrial applications. For cloud gaming, Nvidia operates the GeForce Now cloud gaming service. Additionally, Nvidia offers a range of gaming hardware including the Shield Portable, Shield Tablet, and Shield TV.",2,3,4,1004,3342,2.37,1.96,5,40,Nvidia,Nvidia|Dia,Nvidia--[HAS_MARKET_SHARE]-->first generation of Nvidia RTX; Nvidia--[RELEASED]-->Nvidia A100 GPU Accelerator; Nvidia--[RELEASED]-->Nvidia RTX A6000; Nvidia--[RELEASED]-->GeForce RTX 2080 Ti; Nvidia--[RELEASED]-->RTX Studio Laptops
E24,market,easy,When did Nvidia first surpass $4 trillion and $5 trillion in market capitalization?,The corpus says Nvidia became the first company to surpass US$4 trillion and US$5 trillion in market capitalization in 2025 amid AI data center demand.,"Nvidia first surpassed a market capitalization of $4 trillion on July 10, 2025, and then became the first company to reach a market capitalization of $5 trillion on October 29, 2025.","Nvidia first surpassed $4 trillion in market capitalization during the AI boom, and it became the first company to reach a market capitalization of $5 trillion on October 29, 2025.",3,3,4,1235,3168,1.36,1.91,5,30,Nvidia,Nvidia|Dia,Nvidia--[HAS_MARKET_SHARE]-->first generation of Nvidia RTX; Nvidia--[INVESTED_IN]-->Nebius; Nvidia--[INVESTED_IN]-->Anthropic; Nvidia--[INVESTED_IN]-->OpenAI; Nvidia--[RAISED]-->$2 billion
E25,product_demand,medium,What does the corpus say about Nvidia H100 demand and price in 2023-2024?,"Nvidia H100 GPUs were in very high demand; in January 2024 analysts estimated H100s sold for $25,000 to $30,000 each, while individual units cost over $40,000 on eBay.","The corpus indicates that the demand for Nvidia H100 GPUs was extremely high during 2023-2024. Major technology companies were reportedly purchasing tens or hundreds of thousands of these GPUs for their data centers to support generative artificial intelligence projects, leading to significant capital expenditures in the billions of dollars.

In terms of pricing, reports from early 2024 suggested that Nvidia was selling the H100 GPU within a price range of $25,000 to $30,000 each. However, on platforms like eBay, individual H100s were being sold for over $40,000. This discrepancy highlights the robust demand and the value placed on the H100 GPUs during that period. Additionally, notable industry figures, including Larry Ellison from Oracle, mentioned ""begging"" for H100s, which underscores the intense competition for these GPUs among tech giants.","In 2023, Nvidia's H100 GPUs were in such demand that even other tech giants were beholden to how Nvidia allocated supply. Furthermore, in January 2024, Raymond James Financial analysts estimated that Nvidia was selling the H100 GPU in the price range of $25,000 to $30,000 each, while on eBay, individual H100s cost over $40,000.",4,4,4,1279,3807,2.45,2.15,5,44,Nvidia,Nvidia H100|Nvidia|Dia,Nvidia--[HAS_MARKET_SHARE]-->first generation of Nvidia RTX; Nvidia--[HAS_MARKET_SHARE]-->more than the combined value of all publicly traded companies in the United Kingdom; Nvidia--[HAS_MARKET_SHARE]-->5%; Nvidia--[HAS_MARKET_SHARE]-->80%; Nvidia--[HAS_MARKET_SHARE]-->92%
E26,partnership,medium,How was Nvidia connected to Microsoft's Xbox in the early 2000s?,"Nvidia won the contract to develop graphics hardware for Microsoft's Xbox game console, including a $200 million advance.","Nvidia was connected to Microsoft's Xbox in the early 2000s by winning a contract to develop the graphics hardware for the console. This contract included a $200 million advance. The project was significant enough that it utilized many of Nvidia's best engineers, but it did not negatively impact the company in the short term because their products were performing well, including the successful launch of the GeForce 2 GTS in 2000.","Nvidia was contracted to develop the graphics hardware for Microsoft's Xbox game console, which included a $200 million advance.",3,3,3,1050,3500,2.12,1.87,5,42,Nvidia,Nvidia|Microsoft|Xbox|Dia,Nvidia--[INVESTED_IN]-->Microsoft's Xbox Game Console; Nvidia--[PARTNERED_WITH]-->Microsoft; Nvidia--[HAS_MARKET_SHARE]-->first generation of Nvidia RTX; Nvidia--[INVESTED_IN]-->Nebius; Nvidia--[INVESTED_IN]-->Anthropic
E27,antitrust,medium,"Which agencies investigated Nvidia, Microsoft, and OpenAI in 2024 and how were responsibilities split?","The FTC and DOJ began antitrust investigations. The FTC led investigations into Microsoft and OpenAI, while the DOJ handled Nvidia.","In 2024, the Federal Trade Commission (FTC) and the Justice Department (DOJ) investigated Nvidia, Microsoft, and OpenAI. The FTC led the investigations into Microsoft and OpenAI, while the DOJ handled the investigation into Nvidia.","The Federal Trade Commission (FTC) led the investigations into Microsoft and OpenAI, while the Department of Justice (DOJ) handled the investigation into Nvidia.",5,5,5,1025,3162,1.85,4.45,5,32,Nvidia|OpenAI,Nvidia|Microsoft|OpenAI|Dia,Nvidia--[INVESTED_IN]-->OpenAI; OpenAI--[INVESTED_IN]-->Nvidia; OpenAI--[INVESTED_IN]-->NVIDIA; Nvidia--[INVESTED_IN]-->Microsoft's Xbox Game Console; Nvidia--[ACQUIRED]-->OpenAI
E28,financial,easy,What revenue and employee count does Meta report for 2025/2026?,"Meta reports US$201 billion revenue in 2025 and 77,986 employees as of March 2026.","The retrieved passages do not contain specific information about Meta's revenue and employee count for 2025/2026. Therefore, I cannot provide an answer based on the information available.","For 2025, Meta reports a revenue of US$201 billion and a net income of US$60.5 billion. As of March 2026, the employee count is reported to be 77,986.",0,2,2,1111,3547,1.41,3.47,5,35,Meta_Platforms,Meta|Report,"Meta Platforms, Inc.--[HAS_MISSION]-->developing the metaverse—an interconnected digital ecosystem spanning virtual and augmented reality technologies; Meta Platforms, Inc.--[HAS_REVENUE]-->US$35.3 billion; Meta--[HAS_REVENUE]-->97.8 percent; Meta--[HAS_REVENUE]-->US$201 billion; Meta--[HAS_EMPLOYEES]-->77,986"
E29,business_model,medium,How dependent was Meta on advertising revenue as of 2023?,The corpus says advertising accounted for 97.8 percent of Meta's total revenue as of 2023.,"The passages do not provide specific information about Meta's overall dependence on advertising revenue as of 2023. However, it is mentioned that Meta experienced a greater-than-expected decline in profits due to privacy measures impacting ad revenue, and it was estimated that such measures would cost Meta around $10 billion in advertisement revenue for 2021. This suggests a significant reliance on advertising revenue. Further analysis and detailed financial statements would be needed to determine the exact extent of this dependence as of 2023.","As of 2023, advertising accounted for 97.8 percent of Meta's total revenue.",2,3,3,1131,3174,2.37,2.69,5,28,Meta_Platforms,Meta|Advertising,"Meta Platforms, Inc.--[HAS_MISSION]-->developing the metaverse—an interconnected digital ecosystem spanning virtual and augmented reality technologies; Meta Platforms, Inc.--[HAS_REVENUE]-->US$35.3 billion; Meta--[HAS_REVENUE]-->97.8 percent; Meta--[HAS_REVENUE]-->US$201 billion; Meta Platforms--[HAS_MISSION]-->building the metaverse"
E30,ai_investment,medium,What AI startup investment did Meta decide to make in June 2025?,"Meta decided to make a multibillion-dollar investment into AI startup Scale AI, with financing potentially exceeding $10 billion.","In June 2025, Meta Platforms Inc. decided to make a multibillion-dollar investment into the artificial intelligence startup Scale AI, with the financing potentially exceeding $10 billion.",Meta Platforms Inc. decided to make a multibillion-dollar investment into the artificial intelligence startup Scale AI in June 2025.,3,2,3,894,2192,1.41,2.73,5,14,Meta_Platforms,Meta,"Meta Platforms, Inc.--[HAS_MISSION]-->developing the metaverse—an interconnected digital ecosystem spanning virtual and augmented reality technologies; Meta Platforms--[HAS_MISSION]-->building the metaverse; Meta--[HAS_MISSION]-->AI would be Meta's biggest investment; Meta--[HAS_EMPLOYEES]-->impact Meta’s AI infrastructure units; Meta--[RAISED]-->$2 billion"
E31,partnership,easy,What long-term AI-related partnership did Meta announce in February 2026?,Meta announced a long-term partnership with Nvidia in February 2026.,"In February 2026, Meta announced a long-term partnership with Nvidia.",Meta announced a long-term partnership with Nvidia in February 2026.,4,4,4,881,2568,0.8,2.06,5,23,Meta_Platforms,Meta,"Meta Platforms, Inc.--[HAS_MISSION]-->developing the metaverse—an interconnected digital ecosystem spanning virtual and augmented reality technologies; Meta Platforms--[HAS_MISSION]-->building the metaverse; Meta--[HAS_MISSION]-->AI would be Meta's biggest investment; Meta--[HAS_EMPLOYEES]-->impact Meta’s AI infrastructure units; Meta--[INVESTED_IN]-->AI Data Center"
